k,delta_max,V_0_0,V_0_1,V_0_2,V_0_3,V_0_4,V_1_0,V_1_1,V_1_2,V_1_3,V_1_4,V_2_0,V_2_1,V_2_2,V_2_3,V_2_4,V_3_0,V_3_1,V_3_2,V_3_3,V_3_4,V_4_0,V_4_1,V_4_2,V_4_3,V_4_4
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,-1.0,-1.0,-1.0,10.0,0.0
2,9.9,-1.99,-1.99,-1.99,-1.99,-1.99,-1.99,-1.99,-1.99,-1.99,-1.99,-1.99,-1.99,-1.99,-1.99,8.9,-1.99,-1.99,-1.99,8.9,10.0,-1.99,-1.99,8.9,10.0,0.0
3,9.801,-2.9701,-2.9701,-2.9701,-2.9701,-2.9701,-2.9701,-2.9701,-2.9701,-2.9701,7.811,-2.9701,-2.9701,-2.9701,7.811,8.9,-2.9701,-2.9701,7.811,8.9,10.0,-2.9701,7.811,8.9,10.0,0.0
4,9.70299,-3.9403989999999998,-3.9403989999999998,-3.9403989999999998,-3.9403989999999998,6.73289,-3.9403989999999998,-3.9403989999999998,-3.9403989999999998,6.73289,7.811,-3.9403989999999998,-3.9403989999999998,6.73289,7.811,8.9,-3.9403989999999998,6.73289,7.811,8.9,10.0,6.73289,7.811,8.9,10.0,0.0
5,9.6059601,-4.90099501,-4.90099501,-4.90099501,5.665561100000001,6.73289,-4.90099501,-4.90099501,5.665561100000001,6.73289,7.811,-4.90099501,5.665561100000001,6.73289,7.811,8.9,5.665561100000001,6.73289,7.811,8.9,10.0,6.73289,7.811,8.9,10.0,0.0
6,9.509900499,-5.8519850599,-5.8519850599,4.6089054890000005,5.665561100000001,6.73289,-5.8519850599,4.6089054890000005,5.665561100000001,6.73289,7.811,4.6089054890000005,5.665561100000001,6.73289,7.811,8.9,5.665561100000001,6.73289,7.811,8.9,10.0,6.73289,7.811,8.9,10.0,0.0
7,9.41480149401,-6.793465209301,3.56281643411,4.6089054890000005,5.665561100000001,6.73289,3.56281643411,4.6089054890000005,5.665561100000001,6.73289,7.811,4.6089054890000005,5.665561100000001,6.73289,7.811,8.9,5.665561100000001,6.73289,7.811,8.9,10.0,6.73289,7.811,8.9,10.0,0.0
8,9.3206534790699,2.5271882697689003,3.56281643411,4.6089054890000005,5.665561100000001,6.73289,3.56281643411,4.6089054890000005,5.665561100000001,6.73289,7.811,4.6089054890000005,5.665561100000001,6.73289,7.811,8.9,5.665561100000001,6.73289,7.811,8.9,10.0,6.73289,7.811,8.9,10.0,0.0
9,0.0,2.5271882697689003,3.56281643411,4.6089054890000005,5.665561100000001,6.73289,3.56281643411,4.6089054890000005,5.665561100000001,6.73289,7.811,4.6089054890000005,5.665561100000001,6.73289,7.811,8.9,5.665561100000001,6.73289,7.811,8.9,10.0,6.73289,7.811,8.9,10.0,0.0
