k,elapsed_s,V_0_0,V_0_1,V_0_2,V_0_3,V_0_4,V_1_0,V_1_1,V_1_2,V_1_3,V_1_4,V_2_0,V_2_1,V_2_2,V_2_3,V_2_4,V_3_0,V_3_1,V_3_2,V_3_3,V_3_4,V_4_0,V_4_1,V_4_2,V_4_3,V_4_4
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.006242399991606362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.16000000000003,799.232,0.0
1,0.011585899992496707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.16000000000003,799.232,0.0
2,0.019681799996760674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.16000000000003,799.232,0.0
3,0.02826229999482166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.16000000000003,799.232,0.0
10,0.036983099998906255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2575.6467200000006,146.06,0.0,0.0,99.2,32.0,99.2,0.0,0.0,397.18399999999997,2575.6467200000006,0.0
100,0.05294629999843892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2575.6467200000006,97.03999999999999,0.0,0.0,99.2,32.0,99.2,0.0,0.0,397.18399999999997,2575.6467200000006,0.0
1000,0.14856889999646228,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1287.3233600000003,72.53,-1.0,-1.0,99.2,23.75,99.2,0.0,0.0,397.18399999999997,1326.2336,0.0
5000,0.5525737999996636,-1.0,-1.0,-1.9428571428571426,-1.0,-2.0999999999999996,-1.7333333333333332,-1.0,-1.0,-1.0,-1.0,-1.0,-1.4399999999999997,-1.88,428.44112000000007,25.506666666666668,-1.9428571428571426,-1.8249999999999997,20.750000000000007,8.0,17.72,-2.1,-1.55,168.70742857142855,857.8822400000001,0.0
10000,1.0747752000024775,-1.7333333333333332,-1.8608695652173914,-2.1478260869565213,-1.0,-2.2375,-1.388235294117647,-1.3473684210526313,-1.4124999999999999,-2.32,-1.776470588235294,-1.0,-1.88,-1.471428571428571,150.1792188235294,16.04,-2.466666666666666,-2.015384615384615,14.218181818181822,6.615384615384615,14.6,-1.388235294117647,-1.7333333333333332,97.99599999999998,262.46672000000007,0.0
20000,2.073406600000453,-1.9829787234042546,-2.1,-3.270769230769231,-2.178571428571429,-2.1647058823529415,-1.682758620689655,-1.8461538461538463,-1.6,71.59666823529413,1.2957500000000035,-2.36551724137931,-2.1999999999999993,56.808877419354836,83.1352,34.11560000000001,-2.155,2.2800000000000002,17.94523076923077,16.701935483870965,10.115789473684211,-1.99,-2.0312499999999996,58.39759999999999,123.83177142857146,0.0
49999,5.0482519999932265,-2.5141573033707862,-3.441142857142858,-2.782650602409638,-3.876756756756756,-3.049,-3.661000000000001,16.76982588235294,-2.6191549295774648,51.100332307692284,-2.5392195121951207,-2.5049999999999986,18.853033513513527,35.74009599999999,48.5858380487805,10.301265822784808,-3.794090909090909,0.9430886075949383,13.97283018867925,17.150422535211266,10.577272727272728,-3.4724752475247525,-3.1194117647058817,21.083692307692306,59.29577365853657,0.0
